Barrio;Año;Trimestre;Valor;Ambiente;Estado
Almagro;2018;1;2990.74;1;Nuevo
Balvanera;2018;1;2716.42;1;Nuevo
Belgrano;2018;1;3699.68;1;Nuevo
Caballito;2018;1;3057.28;1;Nuevo
Colegiales;2018;1;;1;Nuevo
Flores;2018;1;;1;Nuevo
Liniers;2018;1;2329.32;1;Nuevo
Montserrat;2018;1;;1;Nuevo
Núñez;2018;1;;1;Nuevo
Palermo;2018;1;3760.05;1;Nuevo
Recoleta;2018;1;4108.98;1;Nuevo
Saavedra;2018;1;2960;1;Nuevo
San Cristóbal;2018;1;;1;Nuevo
Villa Crespo;2018;1;3014.25;1;Nuevo
Villa Devoto;2018;1;;1;Nuevo
Villa Luro;2018;1;;1;Nuevo
Villa Urquiza;2018;1;;1;Nuevo
Almagro;2018;2;3070.91;1;Nuevo
Balvanera;2018;2;2672.19;1;Nuevo
Belgrano;2018;2;3962.29;1;Nuevo
Caballito;2018;2;3120.47;1;Nuevo
Colegiales;2018;2;;1;Nuevo
Flores;2018;2;2628.3;1;Nuevo
Liniers;2018;2;2491.25;1;Nuevo
Montserrat;2018;2;2860.39;1;Nuevo
Núñez;2018;2;;1;Nuevo
Palermo;2018;2;3821.94;1;Nuevo
Recoleta;2018;2;4192.93;1;Nuevo
Saavedra;2018;2;3128.97;1;Nuevo
San Cristóbal;2018;2;2475.99;1;Nuevo
Villa Crespo;2018;2;3063.16;1;Nuevo
Villa Devoto;2018;2;;1;Nuevo
Villa Luro;2018;2;;1;Nuevo
Villa Urquiza;2018;2;;1;Nuevo
Almagro;2018;3;3130.11;1;Nuevo
Balvanera;2018;3;2716.17;1;Nuevo
Belgrano;2018;3;4027.23;1;Nuevo
Caballito;2018;3;3204.08;1;Nuevo
Colegiales;2018;3;;1;Nuevo
Flores;2018;3;2531.72;1;Nuevo
Liniers;2018;3;2749.33;1;Nuevo
Montserrat;2018;3;2819.35;1;Nuevo
Núñez;2018;3;3888.21;1;Nuevo
Palermo;2018;3;3846.69;1;Nuevo
Recoleta;2018;3;4228.72;1;Nuevo
Saavedra;2018;3;3295.49;1;Nuevo
San Cristóbal;2018;3;2479.02;1;Nuevo
Villa Crespo;2018;3;3178.07;1;Nuevo
Villa Devoto;2018;3;;1;Nuevo
Villa Luro;2018;3;2637.35;1;Nuevo
Villa Urquiza;2018;3;3323.67;1;Nuevo
Almagro;2018;4;3108.66;1;Nuevo
Balvanera;2018;4;2769.88;1;Nuevo
Belgrano;2018;4;3990.66;1;Nuevo
Caballito;2018;4;3125.34;1;Nuevo
Colegiales;2018;4;;1;Nuevo
Flores;2018;4;2549.42;1;Nuevo
Liniers;2018;4;2644.8;1;Nuevo
Montserrat;2018;4;2825.96;1;Nuevo
Núñez;2018;4;3736.87;1;Nuevo
Palermo;2018;4;;1;Nuevo
Recoleta;2018;4;4190.89;1;Nuevo
Saavedra;2018;4;3276.88;1;Nuevo
San Cristóbal;2018;4;2451.52;1;Nuevo
Villa Crespo;2018;4;3185.57;1;Nuevo
Villa Devoto;2018;4;;1;Nuevo
Villa Luro;2018;4;2558;1;Nuevo
Villa Urquiza;2018;4;3251.82;1;Nuevo
Almagro;2019;1;;1;Nuevo
Balvanera;2019;1;2772.02;1;Nuevo
Belgrano;2019;1;3875;1;Nuevo
Caballito;2019;1;3155.95;1;Nuevo
Colegiales;2019;1;;1;Nuevo
Flores;2019;1;2695.69;1;Nuevo
Liniers;2019;1;2771.26;1;Nuevo
Montserrat;2019;1;2793.12;1;Nuevo
Núñez;2019;1;3693.27;1;Nuevo
Palermo;2019;1;3787.64;1;Nuevo
Recoleta;2019;1;4164.33;1;Nuevo
Saavedra;2019;1;;1;Nuevo
San Cristóbal;2019;1;2602.55;1;Nuevo
Villa Crespo;2019;1;3208.33;1;Nuevo
Villa Devoto;2019;1;;1;Nuevo
Villa Luro;2019;1;;1;Nuevo
Villa Urquiza;2019;1;3322.19;1;Nuevo
Almagro;2019;2;3100.99;1;Nuevo
Balvanera;2019;2;2799.21;1;Nuevo
Belgrano;2019;2;3887.58;1;Nuevo
Caballito;2019;2;3049.03;1;Nuevo
Colegiales;2019;2;;1;Nuevo
Flores;2019;2;2729.47;1;Nuevo
Liniers;2019;2;2698.28;1;Nuevo
Montserrat;2019;2;2784.7;1;Nuevo
Núñez;2019;2;3612.78;1;Nuevo
Palermo;2019;2;;1;Nuevo
Recoleta;2019;2;3969.18;1;Nuevo
Saavedra;2019;2;;1;Nuevo
San Cristóbal;2019;2;2600.95;1;Nuevo
Villa Crespo;2019;2;;1;Nuevo
Villa Devoto;2019;2;;1;Nuevo
Villa Luro;2019;2;;1;Nuevo
Villa Urquiza;2019;2;;1;Nuevo
Almagro;2019;3;3112.29;1;Nuevo
Balvanera;2019;3;2828.76;1;Nuevo
Belgrano;2019;3;3786.72;1;Nuevo
Caballito;2019;3;3200.81;1;Nuevo
Colegiales;2019;3;;1;Nuevo
Flores;2019;3;2746.47;1;Nuevo
Liniers;2019;3;2716.99;1;Nuevo
Montserrat;2019;3;2798.29;1;Nuevo
Núñez;2019;3;3734.18;1;Nuevo
Palermo;2019;3;3806.54;1;Nuevo
Recoleta;2019;3;3907.46;1;Nuevo
Saavedra;2019;3;3399.86;1;Nuevo
San Cristóbal;2019;3;2538.57;1;Nuevo
Villa Crespo;2019;3;3224.98;1;Nuevo
Villa Devoto;2019;3;;1;Nuevo
Villa Luro;2019;3;2513.79;1;Nuevo
Villa Urquiza;2019;3;3382.26;1;Nuevo
Almagro;2019;4;3023.86;1;Nuevo
Balvanera;2019;4;2800.95;1;Nuevo
Belgrano;2019;4;3772.83;1;Nuevo
Caballito;2019;4;3235.06;1;Nuevo
Colegiales;2019;4;;1;Nuevo
Flores;2019;4;2821.11;1;Nuevo
Liniers;2019;4;2786.13;1;Nuevo
Montserrat;2019;4;2929.27;1;Nuevo
Núñez;2019;4;3735.77;1;Nuevo
Palermo;2019;4;3835;1;Nuevo
Recoleta;2019;4;3858.15;1;Nuevo
Saavedra;2019;4;3281.2;1;Nuevo
San Cristóbal;2019;4;2519.35;1;Nuevo
Villa Crespo;2019;4;3070.81;1;Nuevo
Villa Devoto;2019;4;;1;Nuevo
Villa Luro;2019;4;2579.59;1;Nuevo
Villa Urquiza;2019;4;3428.79;1;Nuevo
Almagro;2020;1;3041.7;1;Nuevo
Balvanera;2020;1;2686.18;1;Nuevo
Belgrano;2020;1;3755.89;1;Nuevo
Caballito;2020;1;3206.46;1;Nuevo
Colegiales;2020;1;;1;Nuevo
Flores;2020;1;2752.2;1;Nuevo
Liniers;2020;1;2770.83;1;Nuevo
Montserrat;2020;1;;1;Nuevo
Núñez;2020;1;3618.73;1;Nuevo
Palermo;2020;1;3729.8;1;Nuevo
Recoleta;2020;1;3704.09;1;Nuevo
Saavedra;2020;1;3053.02;1;Nuevo
San Cristóbal;2020;1;2456.55;1;Nuevo
Villa Crespo;2020;1;3045.07;1;Nuevo
Villa Devoto;2020;1;;1;Nuevo
Villa Luro;2020;1;2464.88;1;Nuevo
Villa Urquiza;2020;1;3277.68;1;Nuevo
Almagro;2020;2;2998.36;1;Nuevo
Balvanera;2020;2;;1;Nuevo
Belgrano;2020;2;3860.05;1;Nuevo
Caballito;2020;2;3048.54;1;Nuevo
Colegiales;2020;2;3463.75;1;Nuevo
Flores;2020;2;2699.12;1;Nuevo
Liniers;2020;2;2742.61;1;Nuevo
Montserrat;2020;2;;1;Nuevo
Núñez;2020;2;3625.11;1;Nuevo
Palermo;2020;2;3567.34;1;Nuevo
Recoleta;2020;2;3741.88;1;Nuevo
Saavedra;2020;2;3032.81;1;Nuevo
San Cristóbal;2020;2;;1;Nuevo
Villa Crespo;2020;2;3087.25;1;Nuevo
Villa Devoto;2020;2;;1;Nuevo
Villa Luro;2020;2;;1;Nuevo
Villa Urquiza;2020;2;3188.13;1;Nuevo
Almagro;2020;3;2918.81;1;Nuevo
Balvanera;2020;3;2777.05;1;Nuevo
Belgrano;2020;3;3638.26;1;Nuevo
Caballito;2020;3;2796.33;1;Nuevo
Colegiales;2020;3;3312.45;1;Nuevo
Flores;2020;3;2604.77;1;Nuevo
Liniers;2020;3;2640.18;1;Nuevo
Montserrat;2020;3;2669.58;1;Nuevo
Núñez;2020;3;3426.02;1;Nuevo
Palermo;2020;3;3565.98;1;Nuevo
Recoleta;2020;3;3583.33;1;Nuevo
Saavedra;2020;3;3005.64;1;Nuevo
San Cristóbal;2020;3;2554.73;1;Nuevo
Villa Crespo;2020;3;2883.73;1;Nuevo
Villa Devoto;2020;3;;1;Nuevo
Villa Luro;2020;3;2568.66;1;Nuevo
Villa Urquiza;2020;3;3084.99;1;Nuevo
Almagro;2020;4;2813.91;1;Nuevo
Balvanera;2020;4;2635.31;1;Nuevo
Belgrano;2020;4;3432.77;1;Nuevo
Caballito;2020;4;2991.57;1;Nuevo
Colegiales;2020;4;3161.24;1;Nuevo
Flores;2020;4;2558.4;1;Nuevo
Liniers;2020;4;2602.94;1;Nuevo
Montserrat;2020;4;2580.7;1;Nuevo
Núñez;2020;4;3304.58;1;Nuevo
Palermo;2020;4;3443.27;1;Nuevo
