Barrio;Año;Trismestre;Valor;Ambientes;Estado
Almagro;2018;1;3031.44;2;Nuevo
Balvanera;2018;1;;2;Nuevo
Belgrano;2018;1;4055.37;2;Nuevo
Boedo;2018;1;;2;Nuevo
Caballito;2018;1;3314.95;2;Nuevo
Coghlan;2018;1;;2;Nuevo
Colegiales;2018;1;3464.03;2;Nuevo
Flores;2018;1;2630.26;2;Nuevo
Liniers;2018;1;2496.27;2;Nuevo
Mataderos;2018;1;;2;Nuevo
Monte Castro;2018;1;;2;Nuevo
Núñez;2018;1;3846.81;2;Nuevo
Palermo;2018;1;3840.75;2;Nuevo
Parque Chacabuco;2018;1;;2;Nuevo
Recoleta;2018;1;4339.96;2;Nuevo
Saavedra;2018;1;3078.68;2;Nuevo
San Cristóbal;2018;1;2466.12;2;Nuevo
Villa Crespo;2018;1;3059.89;2;Nuevo
Villa del Parque;2018;1;;2;Nuevo
Villa Devoto;2018;1;;2;Nuevo
Villa Luro;2018;1;2564.03;2;Nuevo
Villa Urquiza;2018;1;3227.83;2;Nuevo
Almagro;2018;2;3232.57;2;Nuevo
Balvanera;2018;2;2519.02;2;Nuevo
Belgrano;2018;2;3975.72;2;Nuevo
Boedo;2018;2;2871.7;2;Nuevo
Caballito;2018;2;3284.89;2;Nuevo
Coghlan;2018;2;3317.35;2;Nuevo
Colegiales;2018;2;3558.82;2;Nuevo
Flores;2018;2;2687.73;2;Nuevo
Liniers;2018;2;2530.95;2;Nuevo
Mataderos;2018;2;;2;Nuevo
Monte Castro;2018;2;;2;Nuevo
Núñez;2018;2;3778.78;2;Nuevo
Palermo;2018;2;3880.42;2;Nuevo
Parque Chacabuco;2018;2;;2;Nuevo
Recoleta;2018;2;4246.57;2;Nuevo
Saavedra;2018;2;3090.34;2;Nuevo
San Cristóbal;2018;2;2541.33;2;Nuevo
Villa Crespo;2018;2;3176.17;2;Nuevo
Villa del Parque;2018;2;;2;Nuevo
Villa Devoto;2018;2;;2;Nuevo
Villa Luro;2018;2;2463.94;2;Nuevo
Villa Urquiza;2018;2;3353.42;2;Nuevo
Almagro;2018;3;3313.83;2;Nuevo
Balvanera;2018;3;2605.06;2;Nuevo
Belgrano;2018;3;3799.47;2;Nuevo
Boedo;2018;3;2810.05;2;Nuevo
Caballito;2018;3;3298.57;2;Nuevo
Coghlan;2018;3;;2;Nuevo
Colegiales;2018;3;3650.59;2;Nuevo
Flores;2018;3;2722.74;2;Nuevo
Liniers;2018;3;2680.99;2;Nuevo
Mataderos;2018;3;;2;Nuevo
Monte Castro;2018;3;2783.66;2;Nuevo
Núñez;2018;3;3961.05;2;Nuevo
Palermo;2018;3;4021.75;2;Nuevo
Parque Chacabuco;2018;3;2805.09;2;Nuevo
Recoleta;2018;3;4165.8;2;Nuevo
Saavedra;2018;3;;2;Nuevo
San Cristóbal;2018;3;2525.56;2;Nuevo
