Barrio;Año;Trimestre;Valor;Ambientes;Estado
Almagro;2018;1;;3;Nuevo
Balvanera;2018;1;;3;Nuevo
Belgrano;2018;1;4381.01;3;Nuevo
Caballito;2018;1;3339.06;3;Nuevo
Colegiales;2018;1;;3;Nuevo
Flores;2018;1;2712.15;3;Nuevo
Liniers;2018;1;2730.81;3;Nuevo
Mataderos;2018;1;;3;Nuevo
Núñez;2018;1;;3;Nuevo
Palermo;2018;1;4235.44;3;Nuevo
Recoleta;2018;1;4565.89;3;Nuevo
Saavedra;2018;1;;3;Nuevo
Villa Crespo;2018;1;3226.47;3;Nuevo
Villa del Parque;2018;1;;3;Nuevo
Villa Devoto;2018;1;;3;Nuevo
Villa Luro;2018;1;;3;Nuevo
Villa Urquiza;2018;1;3358.65;3;Nuevo
Almagro;2018;2;3093.86;3;Nuevo
Balvanera;2018;2;2336.21;3;Nuevo
Belgrano;2018;2;4618.21;3;Nuevo
Caballito;2018;2;3321.26;3;Nuevo
Colegiales;2018;2;;3;Nuevo
Flores;2018;2;2821.55;3;Nuevo
Liniers;2018;2;2702.25;3;Nuevo
Mataderos;2018;2;;3;Nuevo
Núñez;2018;2;;3;Nuevo
Palermo;2018;2;4266.93;3;Nuevo
Recoleta;2018;2;4710.3;3;Nuevo
Saavedra;2018;2;2964.66;3;Nuevo
Villa Crespo;2018;2;3314.71;3;Nuevo
Villa del Parque;2018;2;;3;Nuevo
Villa Devoto;2018;2;;3;Nuevo
Villa Luro;2018;2;;3;Nuevo
Villa Urquiza;2018;2;3389.89;3;Nuevo
Almagro;2018;3;3075.53;3;Nuevo
Balvanera;2018;3;;3;Nuevo
Belgrano;2018;3;4421.09;3;Nuevo
Caballito;2018;3;3377.91;3;Nuevo
Colegiales;2018;3;3843.35;3;Nuevo
Flores;2018;3;2943.17;3;Nuevo
Liniers;2018;3;2798.28;3;Nuevo
Mataderos;2018;3;;3;Nuevo
Núñez;2018;3;3877.95;3;Nuevo
Palermo;2018;3;4293.98;3;Nuevo
Recoleta;2018;3;4784.93;3;Nuevo
Saavedra;2018;3;2919.32;3;Nuevo
Villa Crespo;2018;3;3331.53;3;Nuevo
Villa del Parque;2018;3;;3;Nuevo
Villa Devoto;2018;3;;3;Nuevo
Villa Luro;2018;3;;3;Nuevo
Villa Urquiza;2018;3;3455.45;3;Nuevo
Almagro;2018;4;3098.11;3;Nuevo
Balvanera;2018;4;;3;Nuevo
Belgrano;2018;4;4657.54;3;Nuevo
Caballito;2018;4;3402.23;3;Nuevo
Colegiales;2018;4;;3;Nuevo
Flores;2018;4;2841.52;3;Nuevo
Liniers;2018;4;2772.19;3;Nuevo
Mataderos;2018;4;2783.25;3;Nuevo
Núñez;2018;4;4076.24;3;Nuevo
Palermo;2018;4;4248.61;3;Nuevo
Recoleta;2018;4;4505;3;Nuevo
Saavedra;2018;4;2962.77;3;Nuevo
Villa Crespo;2018;4;3281.3;3;Nuevo
Villa del Parque;2018;4;3035.41;3;Nuevo
Villa Devoto;2018;4;;3;Nuevo
Villa Luro;2018;4;;3;Nuevo
Villa Urquiza;2018;4;3423.34;3;Nuevo
Almagro;2019;1;2974.31;3;Nuevo
Balvanera;2019;1;2543.97;3;Nuevo
Belgrano;2019;1;4338.52;3;Nuevo
Caballito;2019;1;3403.96;3;Nuevo
Colegiales;2019;1;3775.82;3;Nuevo
