Año;Trimestre;1_ambiente;2_ambientes;3_ambientes;4_ambientes;5_ambientes_y_mas
2018;1;239;256;233;241;240
2018;2;232;235;213;212;258
2018;3;277;275;259;255;273
2018;4;230;214;194;203;264
2019;1;241;226;221;222;264
2019;2;237;227;229;227;251
2019;3;241;241;247;245;256
2019;4;254;250;254;257;264
2020;1;252;247;250;256;269
2020;2;278;271;281;293;316
2020;3;290;282;292;303;322
2020;4;254;263;274;282;314
2021;1;272;271;277;286;275
2021;2;272;265;273;274;293
2021;3;289;277;275;265;278
2021;4;305;298;296;289;316
2022;1;335;321;321;322;346
2022;2;344;326;321;322;347
2022;3;355;351;344;340;359
2022;4;360;355;341;331;371
2023;1;393;386;372;356;410
2023;2;394;390;367;348;396
2023;3;405;399;371;356;417
2023;4;406;419;390;370;414
2024;1;429;441;418;398;453
2024;2;419;429;408;385;430
2024;3;393;411;411;390;455
2024;4;343;370;383;367;421
2025;1;321;368;365;351;405
2025;2;297;313;322;305;367
2025;3;273;289;287;269;336
