Barrio;Año;Trimestre;Valor;Ambientes;Estado
Almagro;2018;1;2407.85;3;Usado
Balvanera;2018;1;2023.28;3;Usado
Barracas;2018;1;2249.25;3;Usado
Belgrano;2018;1;3389.79;3;Usado
Boca;2018;1;1778.55;3;Usado
Boedo;2018;1;2242.03;3;Usado
Caballito;2018;1;2680.87;3;Usado
Chacarita;2018;1;2655.02;3;Usado
Coghlan;2018;1;;3;Usado
Colegiales;2018;1;3192.73;3;Usado
Constitución;2018;1;1760.86;3;Usado
Flores;2018;1;2170.97;3;Usado
Floresta;2018;1;1961.44;3;Usado
Liniers;2018;1;1935.8;3;Usado
Mataderos;2018;1;1872.15;3;Usado
Monte Castro;2018;1;2342.55;3;Usado
Montserrat;2018;1;2130.68;3;Usado
Nueva Pompeya;2018;1;;3;Usado
Núñez;2018;1;3342.67;3;Usado
Palermo;2018;1;3600.83;3;Usado
Parque Avellaneda;2018;1;;3;Usado
Parque Chacabuco;2018;1;2467.46;3;Usado
Parque Patricios;2018;1;1912.6;3;Usado
Puerto Madero;2018;1;6029.33;3;Usado
Recoleta;2018;1;3325.06;3;Usado
Retiro;2018;1;3083.1;3;Usado
Saavedra;2018;1;2890.54;3;Usado
San Cristóbal;2018;1;2197.06;3;Usado
San Nicolás;2018;1;2229.03;3;Usado
San Telmo;2018;1;2196.88;3;Usado
Vélez Sarsfield;2018;1;1986.59;3;Usado
Villa Crespo;2018;1;2474.51;3;Usado
Villa del Parque;2018;1;2421.98;3;Usado
Villa Devoto;2018;1;2622.87;3;Usado
Villa Gral. Mitre;2018;1;2308.2;3;Usado
Villa Lugano;2018;1;1221.03;3;Usado
Villa Luro;2018;1;2143.94;3;Usado
Villa Ortúzar;2018;1;2894.1;3;Usado
Villa Pueyrredón;2018;1;2480.44;3;Usado
Villa Santa Rita;2018;1;2166.01;3;Usado
Villa Urquiza;2018;1;3151.7;3;Usado
Almagro;2018;2;2504.88;3;Usado
Balvanera;2018;2;2146.71;3;Usado
Barracas;2018;2;2254.69;3;Usado
Belgrano;2018;2;3481.12;3;Usado
Boca;2018;2;1837.93;3;Usado
Boedo;2018;2;2268.79;3;Usado
Caballito;2018;2;2750.13;3;Usado
Chacarita;2018;2;2984.29;3;Usado
Coghlan;2018;2;;3;Usado
Colegiales;2018;2;3243.97;3;Usado
Constitución;2018;2;1749.4;3;Usado
Flores;2018;2;2217.86;3;Usado
Floresta;2018;2;2077.52;3;Usado
Liniers;2018;2;1952.11;3;Usado
Mataderos;2018;2;1868.71;3;Usado
Monte Castro;2018;2;2305.61;3;Usado
Montserrat;2018;2;2200.65;3;Usado
Nueva Pompeya;2018;2;;3;Usado
Núñez;2018;2;3495.43;3;Usado
Palermo;2018;2;3494.55;3;Usado
Parque Avellaneda;2018;2;1921.36;3;Usado
Parque Chacabuco;2018;2;2451.14;3;Usado
Parque Patricios;2018;2;;3;Usado
Puerto Madero;2018;2;6119.57;3;Usado
Recoleta;2018;2;3314.78;3;Usado
Retiro;2018;2;3254.36;3;Usado
Saavedra;2018;2;3051.59;3;Usado
San Cristóbal;2018;2;2190.04;3;Usado
San Nicolás;2018;2;2301.68;3;Usado
San Telmo;2018;2;2319.12;3;Usado
Vélez Sarsfield;2018;2;2082.68;3;Usado
Villa Crespo;2018;2;2510.33;3;Usado
Villa del Parque;2018;2;2625.74;3;Usado
Villa Devoto;2018;2;2783.92;3;Usado
Villa Gral. Mitre;2018;2;2286.11;3;Usado
Villa Lugano;2018;2;1272.39;3;Usado
Villa Luro;2018;2;2329.2;3;Usado
Villa Ortúzar;2018;2;2926.33;3;Usado
Villa Pueyrredón;2018;2;2530.57;3;Usado
Villa Santa Rita;2018;2;2366.24;3;Usado
Villa Urquiza;2018;2;3243.93;3;Usado
Almagro;2018;3;2523.59;3;Usado
Balvanera;2018;3;2164.99;3;Usado
Barracas;2018;3;2316.27;3;Usado
Belgrano;2018;3;3407.47;3;Usado
Boca;2018;3;1908.17;3;Usado
Boedo;2018;3;2243.31;3;Usado
Caballito;2018;3;2780.29;3;Usado
Chacarita;2018;3;2954.44;3;Usado
Coghlan;2018;3;;3;Usado
Colegiales;2018;3;3326.34;3;Usado
Constitución;2018;3;1766.71;3;Usado
Flores;2018;3;2214.93;3;Usado
Floresta;2018;3;2015.61;3;Usado
Liniers;2018;3;2043.16;3;Usado
Mataderos;2018;3;;3;Usado
Monte Castro;2018;3;2370.78;3;Usado
Montserrat;2018;3;2219.04;3;Usado
Nueva Pompeya;2018;3;;3;Usado
Núñez;2018;3;3480.9;3;Usado
Palermo;2018;3;3476.53;3;Usado
Parque Avellaneda;2018;3;1856.57;3;Usado
Parque Chacabuco;2018;3;2439.62;3;Usado
Parque Patricios;2018;3;2066.98;3;Usado
Puerto Madero;2018;3;6039.95;3;Usado
Recoleta;2018;3;3312.44;3;Usado
Retiro;2018;3;3232.57;3;Usado
Saavedra;2018;3;2859.03;3;Usado
San Cristóbal;2018;3;2113.11;3;Usado
San Nicolás;2018;3;2244.05;3;Usado
San Telmo;2018;3;2311.77;3;Usado
Vélez Sarsfield;2018;3;2038.41;3;Usado
Villa Crespo;2018;3;2632.41;3;Usado
Villa del Parque;2018;3;2599.85;3;Usado
Villa Devoto;2018;3;2791.41;3;Usado
Villa Gral. Mitre;2018;3;2424.32;3;Usado
Villa Lugano;2018;3;1260.04;3;Usado
Villa Luro;2018;3;2235.18;3;Usado
Villa Ortúzar;2018;3;;3;Usado
Villa Pueyrredón;2018;3;2514.69;3;Usado
Villa Santa Rita;2018;3;2468.43;3;Usado
Villa Urquiza;2018;3;3327.13;3;Usado
Almagro;2018;4;2511.11;3;Usado
Balvanera;2018;4;2127.92;3;Usado
Barracas;2018;4;2329.27;3;Usado
Belgrano;2018;4;3419.1;3;Usado
Boca;2018;4;1878.27;3;Usado
Boedo;2018;4;2231.89;3;Usado
Caballito;2018;4;2780.14;3;Usado
Chacarita;2018;4;2847.5;3;Usado
Coghlan;2018;4;2875.81;3;Usado
Colegiales;2018;4;3209.3;3;Usado
Constitución;2018;4;1760.86;3;Usado
Flores;2018;4;2191.78;3;Usado
Floresta;2018;4;2046.01;3;Usado
Liniers;2018;4;2066.81;3;Usado
Mataderos;2018;4;;3;Usado
Monte Castro;2018;4;2496.23;3;Usado
Montserrat;2018;4;2200.38;3;Usado
Nueva Pompeya;2018;4;;3;Usado
Núñez;2018;4;3463.26;3;Usado
Palermo;2018;4;3471.97;3;Usado
Parque Avellaneda;2018;4;1796.54;3;Usado
Parque Chacabuco;2018;4;2414.06;3;Usado
Parque Patricios;2018;4;;3;Usado
Puerto Madero;2018;4;5973.31;3;Usado
Recoleta;2018;4;3305.34;3;Usado
Retiro;2018;4;3260.83;3;Usado
Saavedra;2018;4;2913.84;3;Usado
San Cristóbal;2018;4;2196.61;3;Usado
San Nicolás;2018;4;2219.75;3;Usado
San Telmo;2018;4;2300.16;3;Usado
Vélez Sarsfield;2018;4;2119.44;3;Usado
Villa Crespo;2018;4;2618.33;3;Usado
Villa del Parque;2018;4;2632.14;3;Usado
Villa Devoto;2018;4;2848.91;3;Usado
Villa Gral. Mitre;2018;4;2371.16;3;Usado
Villa Lugano;2018;4;;3;Usado
Villa Luro;2018;4;2256.69;3;Usado
Villa Ortúzar;2018;4;3056.97;3;Usado
Villa Pueyrredón;2018;4;2601.9;3;Usado
Villa Santa Rita;2018;4;2471.31;3;Usado
Villa Urquiza;2018;4;3336.73;3;Usado
Almagro;2019;1;2520.75;3;Usado
Balvanera;2019;1;2147.38;3;Usado
Barracas;2019;1;2420.35;3;Usado
Belgrano;2019;1;3446.6;3;Usado
Boca;2019;1;;3;Usado
Boedo;2019;1;2385.1;3;Usado
Caballito;2019;1;2773.63;3;Usado
Chacarita;2019;1;2873.54;3;Usado
Coghlan;2019;1;;3;Usado
Colegiales;2019;1;3199.82;3;Usado
Constitución;2019;1;1760.39;3;Usado
Flores;2019;1;2284.13;3;Usado
Floresta;2019;1;2090.73;3;Usado
Liniers;2019;1;2089.13;3;Usado
Mataderos;2019;1;;3;Usado
Monte Castro;2019;1;2380.07;3;Usado
Montserrat;2019;1;2153.79;3;Usado
Nueva Pompeya;2019;1;;3;Usado
Núñez;2019;1;3420.7;3;Usado
Palermo;2019;1;3412.79;3;Usado
Parque Avellaneda;2019;1;1801.74;3;Usado
Parque Chacabuco;2019;1;2526.71;3;Usado
Parque Patricios;2019;1;1917.08;3;Usado
Puerto Madero;2019;1;5853.09;3;Usado
Recoleta;2019;1;3268.12;3;Usado
Retiro;2019;1;3327.31;3;Usado
Saavedra;2019;1;2876.08;3;Usado
San Cristóbal;2019;1;2196.64;3;Usado
San Nicolás;2019;1;2269.96;3;Usado
San Telmo;2019;1;2323.41;3;Usado
Vélez Sarsfield;2019;1;2156.82;3;Usado
Villa Crespo;2019;1;2584.82;3;Usado
Villa del Parque;2019;1;2617.31;3;Usado
Villa Devoto;2019;1;2952.37;3;Usado
Villa Gral. Mitre;2019;1;2338.37;3;Usado
Villa Lugano;2019;1;;3;Usado
Villa Luro;2019;1;2346.21;3;Usado
Villa Ortúzar;2019;1;;3;Usado
Villa Pueyrredón;2019;1;2664.79;3;Usado
Villa Santa Rita;2019;1;2433.28;3;Usado
Villa Urquiza;2019;1;3292.99;3;Usado
Almagro;2019;2;2544.31;3;Usado
Balvanera;2019;2;2150.58;3;Usado
Barracas;2019;2;2419.23;3;Usado
Belgrano;2019;2;3309.36;3;Usado
Boca;2019;2;1876.06;3;Usado
Boedo;2019;2;2294.07;3;Usado
Caballito;2019;2;2679.8;3;Usado
Chacarita;2019;2;2699.7;3;Usado
Coghlan;2019;2;;3;Usado
Colegiales;2019;2;3154.7;3;Usado
Constitución;2019;2;1666.24;3;Usado
Flores;2019;2;2260.38;3;Usado
Floresta;2019;2;2065.56;3;Usado
Liniers;2019;2;2009.12;3;Usado
Mataderos;2019;2;;3;Usado
Monte Castro;2019;2;2406.56;3;Usado
Montserrat;2019;2;2130.59;3;Usado
Nueva Pompeya;2019;2;;3;Usado
Núñez;2019;2;3280.61;3;Usado
Palermo;2019;2;3426.46;3;Usado
Parque Avellaneda;2019;2;1794.37;3;Usado
Parque Chacabuco;2019;2;2463.27;3;Usado
Parque Patricios;2019;2;1908.34;3;Usado
Puerto Madero;2019;2;5922.61;3;Usado
Recoleta;2019;2;3214.65;3;Usado
Retiro;2019;2;3205.2;3;Usado
Saavedra;2019;2;3087.65;3;Usado
San Cristóbal;2019;2;2217.04;3;Usado
San Nicolás;2019;2;2251.78;3;Usado
San Telmo;2019;2;2310.47;3;Usado
Vélez Sarsfield;2019;2;2100.93;3;Usado
Villa Crespo;2019;2;2548.84;3;Usado
Villa del Parque;2019;2;2564.41;3;Usado
Villa Devoto;2019;2;2902.72;3;Usado
Villa Gral. Mitre;2019;2;2328.02;3;Usado
Villa Lugano;2019;2;1255.54;3;Usado
Villa Luro;2019;2;2270.55;3;Usado
Villa Ortúzar;2019;2;;3;Usado
Villa Pueyrredón;2019;2;;3;Usado
Villa Santa Rita;2019;2;2453.78;3;Usado
Villa Urquiza;2019;2;3376.81;3;Usado
Almagro;2019;3;2478.56;3;Usado
Balvanera;2019;3;2111.23;3;Usado
Barracas;2019;3;2375.88;3;Usado
Belgrano;2019;3;3174.45;3;Usado
Boca;2019;3;1838.99;3;Usado
Boedo;2019;3;2282;3;Usado
Caballito;2019;3;2639.47;3;Usado
Chacarita;2019;3;2837.55;3;Usado
Coghlan;2019;3;3198.2;3;Usado
Colegiales;2019;3;3056.16;3;Usado
Constitución;2019;3;1648.12;3;Usado
Flores;2019;3;2224.71;3;Usado
Floresta;2019;3;2109.15;3;Usado
Liniers;2019;3;2033.75;3;Usado
Mataderos;2019;3;2077.04;3;Usado
Monte Castro;2019;3;2290.65;3;Usado
Montserrat;2019;3;2144.32;3;Usado
Nueva Pompeya;2019;3;;3;Usado
Núñez;2019;3;3234.37;3;Usado
Palermo;2019;3;3316.68;3;Usado
Parque Avellaneda;2019;3;1800.14;3;Usado
Parque Chacabuco;2019;3;2504.05;3;Usado
Parque Patricios;2019;3;2030.54;3;Usado
Puerto Madero;2019;3;5540.08;3;Usado
Recoleta;2019;3;3187.99;3;Usado
Retiro;2019;3;3262.22;3;Usado
Saavedra;2019;3;3060.68;3;Usado
San Cristóbal;2019;3;2064.7;3;Usado
San Nicolás;2019;3;2263.87;3;Usado
San Telmo;2019;3;2211.48;3;Usado
Vélez Sarsfield;2019;3;2079.41;3;Usado
Villa Crespo;2019;3;2535.91;3;Usado
Villa del Parque;2019;3;2447.13;3;Usado
Villa Devoto;2019;3;2729.38;3;Usado
Villa Gral. Mitre;2019;3;2254.16;3;Usado
Villa Lugano;2019;3;1274.64;3;Usado
Villa Luro;2019;3;2288.58;3;Usado
Villa Ortúzar;2019;3;2847.73;3;Usado
Villa Pueyrredón;2019;3;2483.18;3;Usado
Villa Santa Rita;2019;3;2401.93;3;Usado
Villa Urquiza;2019;3;3326.81;3;Usado
Almagro;2019;4;2478.9;3;Usado
Balvanera;2019;4;2100.57;3;Usado
Barracas;2019;4;2350.87;3;Usado
Belgrano;2019;4;3121.73;3;Usado
Boca;2019;4;1864.28;3;Usado
Boedo;2019;4;2279.59;3;Usado
Caballito;2019;4;2596.14;3;Usado
Chacarita;2019;4;2683.97;3;Usado
Coghlan;2019;4;;3;Usado
Colegiales;2019;4;3039.06;3;Usado
Constitución;2019;4;1732.48;3;Usado
Flores;2019;4;2171.76;3;Usado
Floresta;2019;4;2087.89;3;Usado
Liniers;2019;4;2071.73;3;Usado
Mataderos;2019;4;2113.69;3;Usado
Monte Castro;2019;4;2324.52;3;Usado
Montserrat;2019;4;2059.31;3;Usado
Nueva Pompeya;2019;4;1822.91;3;Usado
Núñez;2019;4;3208.87;3;Usado
Palermo;2019;4;3323.38;3;Usado
Parque Avellaneda;2019;4;1796.23;3;Usado
Parque Chacabuco;2019;4;2402.23;3;Usado
Parque Patricios;2019;4;2028.95;3;Usado
Puerto Madero;2019;4;5455.39;3;Usado
Recoleta;2019;4;3198;3;Usado
Retiro;2019;4;3250.6;3;Usado
Saavedra;2019;4;2953.89;3;Usado
San Cristóbal;2019;4;2075.16;3;Usado
San Nicolás;2019;4;2205.96;3;Usado
San Telmo;2019;4;2160.03;3;Usado
Vélez Sarsfield;2019;4;2001.11;3;Usado
Villa Crespo;2019;4;2482.94;3;Usado
Villa del Parque;2019;4;2484.42;3;Usado
Villa Devoto;2019;4;2768.08;3;Usado
Villa Gral. Mitre;2019;4;2292.75;3;Usado
Villa Lugano;2019;4;1208.49;3;Usado
Villa Luro;2019;4;2241.32;3;Usado
Villa Ortúzar;2019;4;2933.47;3;Usado
Villa Pueyrredón;2019;4;2693.6;3;Usado
Villa Santa Rita;2019;4;2538.47;3;Usado
Villa Urquiza;2019;4;3192.78;3;Usado
Almagro;2020;1;2505.99;3;Usado
Balvanera;2020;1;2091.93;3;Usado
Barracas;2020;1;2347.14;3;Usado
Belgrano;2020;1;3189.17;3;Usado
Boca;2020;1;1838.88;3;Usado
